날짜,평균습도(%rh),최저습도(%rh)
01-15,56,22
02-15,59,17
03-15,45,9
04-15,55,11
05-15,53,12
06-15,60,13
07-15,71,28
08-15,70,29
09-15,56,15
10-15,61,17
11-15,74,23
12-15,60,19
01-16,53,17
02-16,52,16
03-16,51,15
04-16,55,13
05-16,56,10
06-16,63,21
07-16,73,37
08-16,64,27
09-16,65,26
10-16,62,13
11-16,57,19
12-16,59,16
01-17,55,17
02-17,54,18
03-17,48,15
04-17,52,10
05-17,52,7
06-17,57,14
07-17,77,38
08-17,71,19
09-17,61,20
10-17,56,16
11-17,54,13
12-17,56,14
01-18,48,16
02-18,45,13
03-18,59,13
04-18,55,8
05-18,63,22
06-18,63,19
07-18,68,29
08-18,65,25
09-18,61,23
10-18,59,16
11-18,58,12
12-18,46,16
01-19,46,11
02-19,47,15
03-19,51,10
04-19,51,10
05-19,47,12
06-19,61,22
07-19,69,24
08-19,69,28
09-19,65,24
10-19,62,23
11-19,56,14
12-19,58,17
01-20,56,17
02-20,58,14
03-20,46,11
04-20,50,10
05-20,67,11
06-20,68,26
07-20,77,34
08-20,85,49
09-20,71,27
10-20,61,20
11-20,64,18
12-20,58,24
01-21,58,19
02-21,56,18
03-21,63,19
04-21,54,18
05-21,68,25
06-21,73,36
07-21,71,37
08-21,74,39
09-21,71,38
10-21,70,25
11-21,68,27
12-21,62,26
01-22,55,21
02-22,55,21
03-22,62,15
04-22,55,17
05-22,55,16
06-22,73,18
07-22,77,46
08-22,80,39
09-22,68,29
10-22,69,25
11-22,65,23
12-22,59,21
01-23,63,25
02-23,59,21
03-23,51,13
04-23,60,14
05-23,63,21
06-23,73,28
07-23,81,40
08-23,76,47
09-23,74,33
10-23,67,26
11-23,65,22
12-23,69,30
01-24,67,23
02-24,73,30
03-24,57,13
04-24,56,14
05-24,63,23
06-24,61,27
07-24,81,40
08-24,73,40
09-24,72,37
10-24,70,26
11-24,63,21
12-24,56,26
