날짜,시도지역코드,발생건수(건)
2023-05-01,11,129795
2023-05-01,26,44381
2023-05-01,27,35824
2023-05-01,28,43283
2023-05-01,29,20000
2023-05-01,30,22812
2023-05-01,31,16689
2023-05-01,41,219189
2023-05-01,42,16964
2023-05-01,43,22294
2023-05-01,44,39782
2023-05-01,45,24417
2023-05-01,46,21911
2023-05-01,47,32851
2023-05-01,48,41572
2023-05-01,49,8528
2023-05-01,99,740482
2023-05-02,11,124111
2023-05-02,26,41650
2023-05-02,27,28550
2023-05-02,28,39570
2023-05-02,29,17592
2023-05-02,30,20060
2023-05-02,31,14086
2023-05-02,41,196430
2023-05-02,42,17447
2023-05-02,43,20267
2023-05-02,44,34856
2023-05-02,45,21193
2023-05-02,46,21626
2023-05-02,47,28666
2023-05-02,48,38644
2023-05-02,49,9567
2023-05-02,99,674471
2023-05-03,11,101506
2023-05-03,26,35322
2023-05-03,27,23994
2023-05-03,28,32545
2023-05-03,29,14799
2023-05-03,30,16802
2023-05-03,31,12473
2023-05-03,41,159402
2023-05-03,42,13712
2023-05-03,43,16563
2023-05-03,44,28817
2023-05-03,45,17275
2023-05-03,46,17699
2023-05-03,47,23404
2023-05-03,48,31666
2023-05-03,49,7091
2023-05-03,99,553159
2023-05-04,11,121632
2023-05-04,26,41351
2023-05-04,27,29559
2023-05-04,28,38707
2023-05-04,29,17457
2023-05-04,30,19765
2023-05-04,31,14454
2023-05-04,41,190521
2023-05-04,42,16974
2023-05-04,43,19456
2023-05-04,44,34173
2023-05-04,45,21528
2023-05-04,46,19949
2023-05-04,47,28361
2023-05-04,48,37001
2023-05-04,49,7782
2023-05-04,99,658766
2023-05-05,11,18017
2023-05-05,26,6809
2023-05-05,27,6006
2023-05-05,28,8078
2023-05-05,29,3909
2023-05-05,30,6401
2023-05-05,31,3233
2023-05-05,41,43737
2023-05-05,42,2729
2023-05-05,43,4926
2023-05-05,44,8582
2023-05-05,45,4230
2023-05-05,46,4786
2023-05-05,47,5806
2023-05-05,48,7953
2023-05-05,49,2316
2023-05-05,99,137550
2023-05-06,11,86126
2023-05-06,26,29074
2023-05-06,27,21178
2023-05-06,28,27886
2023-05-06,29,13410
2023-05-06,30,14763
2023-05-06,31,10242
2023-05-06,41,137347
2023-05-06,42,10338
2023-05-06,43,14235
2023-05-06,44,24156
2023-05-06,45,14714
2023-05-06,46,15127
2023-05-06,47,19641
2023-05-06,48,27190
2023-05-06,49,6612
2023-05-06,99,472108
2023-05-07,11,16129
2023-05-07,26,5689
2023-05-07,27,3481
2023-05-07,28,6785
2023-05-07,29,2637
2023-05-07,30,5443
2023-05-07,31,1860
2023-05-07,41,38209
2023-05-07,42,2143
2023-05-07,43,4471
2023-05-07,44,6217
2023-05-07,45,2859
2023-05-07,46,4244
2023-05-07,47,3410
2023-05-07,48,4791
2023-05-07,49,2035
2023-05-07,99,110432
2023-05-08,11,151575
2023-05-08,26,52409
2023-05-08,27,37051
2023-05-08,28,49041
2023-05-08,29,22005
2023-05-08,30,25078
2023-05-08,31,18588
2023-05-08,41,238692
2023-05-08,42,21195
2023-05-08,43,24463
2023-05-08,44,42377
2023-05-08,45,26782
2023-05-08,46,26107
2023-05-08,47,36111
2023-05-08,48,47793
2023-05-08,49,10936
2023-05-08,99,830354
2023-05-09,11,104348
2023-05-09,26,37182
2023-05-09,27,25990
2023-05-09,28,33701
2023-05-09,29,15760
2023-05-09,30,17643
2023-05-09,31,12739
2023-05-09,41,166709
2023-05-09,42,15216
2023-05-09,43,17770
2023-05-09,44,30131
2023-05-09,45,18959
2023-05-09,46,18509
2023-05-09,47,25001
2023-05-09,48,32825
2023-05-09,49,8305
2023-05-09,99,580884
2023-05-10,11,93207
2023-05-10,26,32684
2023-05-10,27,23004
2023-05-10,28,30249
2023-05-10,29,13619
2023-05-10,30,16042
2023-05-10,31,11720
2023-05-10,41,147402
2023-05-10,42,12923
2023-05-10,43,14888
2023-05-10,44,26635
2023-05-10,45,16572
2023-05-10,46,16850
2023-05-10,47,22274
2023-05-10,48,29462
2023-05-10,49,7001
2023-05-10,99,514623
2023-05-11,11,101394
2023-05-11,26,35155
2023-05-11,27,25315
2023-05-11,28,32821
2023-05-11,29,15294
2023-05-11,30,17333
2023-05-11,31,12402
2023-05-11,41,160423
2023-05-11,42,14362
2023-05-11,43,16677
2023-05-11,44,28960
2023-05-11,45,18392
