날짜,시군구지역코드,발생건수(건)
2023-05-01,11110,1583
2023-05-01,11140,1540
2023-05-01,11170,2511
2023-05-01,11200,4290
2023-05-01,11215,4759
2023-05-01,11230,4249
2023-05-01,11260,4697
2023-05-01,11290,6141
2023-05-01,11305,3433
2023-05-01,11320,3721
2023-05-01,11350,7071
2023-05-01,11380,6513
2023-05-01,11410,4008
2023-05-01,11440,4883
2023-05-01,11470,5790
2023-05-01,11500,7770
2023-05-01,11530,5895
2023-05-01,11545,3093
2023-05-01,11560,5828
2023-05-01,11590,5092
2023-05-01,11620,5818
2023-05-01,11650,5927
2023-05-01,11680,7487
2023-05-01,11710,10268
2023-05-01,11740,7428
2023-05-01,26110,346
2023-05-01,26140,1031
2023-05-01,26170,821
2023-05-01,26200,1200
2023-05-01,26230,4528
2023-05-01,26260,3878
2023-05-01,26290,3356
2023-05-01,26320,3247
2023-05-01,26350,5378
2023-05-01,26380,4339
2023-05-01,26410,2964
2023-05-01,26440,2729
2023-05-01,26470,2973
2023-05-01,26500,1975
2023-05-01,26530,2602
2023-05-01,26710,3014
2023-05-01,27110,1185
2023-05-01,27140,5148
2023-05-01,27170,2000
2023-05-01,27200,1703
2023-05-01,27230,6256
2023-05-01,27260,6036
2023-05-01,27290,8157
2023-05-01,27710,5339
2023-05-01,28110,2448
2023-05-01,28140,857
2023-05-01,28170,0
2023-05-01,28185,5977
2023-05-01,28200,7599
2023-05-01,28237,6644
2023-05-01,28245,3539
2023-05-01,28260,9601
2023-05-01,28710,673
2023-05-01,28720,160
2023-05-01,29110,1583
2023-05-01,29140,3797
2023-05-01,29155,3053
2023-05-01,29170,5766
2023-05-01,29200,5801
2023-05-01,30110,3243
2023-05-01,30140,3203
2023-05-01,30170,7512
2023-05-01,30200,6545
2023-05-01,30230,2309
2023-05-01,31110,2826
2023-05-01,31140,4219
2023-05-01,31170,2497
2023-05-01,31200,3858
2023-05-01,31710,3289
2023-05-01,36110,8370
2023-05-01,41111,4368
2023-05-01,41113,6142
2023-05-01,41115,2915
2023-05-01,41117,6536
2023-05-01,41131,3422
2023-05-01,41133,3611
2023-05-01,41135,7634
2023-05-01,41150,6596
2023-05-01,41171,3366
2023-05-01,41173,5291
2023-05-01,41190,11736
2023-05-01,41210,4785
2023-05-01,41220,10117
2023-05-01,41250,1230
2023-05-01,41271,4824
2023-05-01,41273,4945
2023-05-01,41281,8079
2023-05-01,41285,3716
2023-05-01,41287,4187
2023-05-01,41290,1443
2023-05-01,41310,2802
2023-05-01,41360,11027
2023-05-01,41370,4043
2023-05-01,41390,9143
2023-05-01,41410,4424
2023-05-01,41430,2658
2023-05-01,41450,5698
2023-05-01,41461,3839
2023-05-01,41463,6713
2023-05-01,41465,7303
2023-05-01,41480,7596
2023-05-01,41500,3027
2023-05-01,41550,2820
2023-05-01,41570,9735
2023-05-01,41590,18401
2023-05-01,41610,5873
2023-05-01,41630,3893
2023-05-01,41650,1518
2023-05-01,41670,1605
2023-05-01,41800,438
2023-05-01,41820,600
2023-05-01,41830,1090
2023-05-01,42110,3190
2023-05-01,42130,4588
2023-05-01,42150,2085
2023-05-01,42170,1217
2023-05-01,42190,466
2023-05-01,42210,1155
2023-05-01,42230,697
2023-05-01,42720,506
2023-05-01,42730,351
2023-05-01,42750,300
2023-05-01,42760,308
2023-05-01,42770,201
2023-05-01,42780,425
2023-05-01,42790,220
2023-05-01,42800,374
2023-05-01,42810,350
2023-05-01,42820,265
2023-05-01,42830,266
2023-05-01,43111,3030
2023-05-01,43112,2887
2023-05-01,43113,4465
2023-05-01,43114,2968
2023-05-01,43130,2539
2023-05-01,43150,1339
2023-05-01,43720,344
2023-05-01,43730,790
2023-05-01,43740,505
2023-05-01,43745,545
2023-05-01,43750,1206
2023-05-01,43760,307
2023-05-01,43770,1144
2023-05-01,43800,225
2023-05-01,44131,4081
2023-05-01,44133,7470
2023-05-01,44150,1088
2023-05-01,44180,1392
2023-05-01,44200,6298
2023-05-01,44210,1818
2023-05-01,44230,1533
2023-05-01,44250,873
2023-05-01,44270,2069
2023-05-01,44710,517
2023-05-01,44760,685
2023-05-01,44770,669
2023-05-01,44790,286
2023-05-01,44800,1171
2023-05-01,44810,831
2023-05-01,44825,630
2023-05-01,45111,4585
2023-05-01,45113,5128
2023-05-01,45130,3950
2023-05-01,45140,4016
2023-05-01,45180,1303
2023-05-01,45190,867
2023-05-01,45210,977
2023-05-01,45710,1375
2023-05-01,45720,244
2023-05-01,45730,230
2023-05-01,45740,232
2023-05-01,45750,286
2023-05-01,45770,301
2023-05-01,45790,467
2023-05-01,45800,456
2023-05-01,46110,2641
2023-05-01,46130,3980
2023-05-01,46150,3290
2023-05-01,46170,1452
2023-05-01,46230,2080
2023-05-01,46710,448
2023-05-01,46720,246
2023-05-01,46730,192
2023-05-01,46770,608
2023-05-01,46780,355
2023-05-01,46790,643
2023-05-01,46800,316
2023-05-01,46810,274
2023-05-01,46820,713
2023-05-01,46830,619
2023-05-01,46840,1328
2023-05-01,46860,272
2023-05-01,46870,702
2023-05-01,46880,476
2023-05-01,46890,578
2023-05-01,46900,346
2023-05-01,46910,352
2023-05-01,47111,3206
2023-05-01,47113,3510
2023-05-01,47130,2702
2023-05-01,47150,1737
2023-05-01,47170,1905
2023-05-01,47190,6155
2023-05-01,47210,1163
2023-05-01,47230,1235
2023-05-01,47250,976
2023-05-01,47280,966
2023-05-01,47290,4050
2023-05-01,47720,220
2023-05-01,47730,400
2023-05-01,47750,236
2023-05-01,47760,57
2023-05-01,47770,448
2023-05-01,47820,384
2023-05-01,47830,286
2023-05-01,47840,481
2023-05-01,47850,1494
2023-05-01,47900,663
2023-05-01,47920,181
2023-05-01,47930,331
2023-05-01,47940,65
2023-05-01,48121,2634
2023-05-01,48123,2992
2023-05-01,48125,2179
2023-05-01,48127,2146
2023-05-01,48129,3062
2023-05-01,48170,3084
2023-05-01,48220,1546
2023-05-01,48240,1214
2023-05-01,48250,7810
2023-05-01,48270,1100
2023-05-01,48310,4061
2023-05-01,48330,5184
2023-05-01,48720,275
2023-05-01,48730,645
2023-05-01,48740,613
2023-05-01,48820,582
2023-05-01,48840,342
2023-05-01,48850,326
2023-05-01,48860,295
2023-05-01,48870,390
2023-05-01,48880,651
2023-05-01,48890,441
2023-05-01,49110,6490
2023-05-01,49130,2038
2023-05-02,11110,1580
2023-05-02,11140,1652
2023-05-02,11170,2676
2023-05-02,11200,3845
2023-05-02,11215,4121
2023-05-02,11230,4150
2023-05-02,11260,4843
2023-05-02,11290,5656
2023-05-02,11305,3423
2023-05-02,11320,3475
2023-05-02,11350,6256
2023-05-02,11380,6134
2023-05-02,11410,4124
2023-05-02,11440,4889
2023-05-02,11470,6117
2023-05-02,11500,7296
2023-05-02,11530,5702
2023-05-02,11545,3136
2023-05-02,11560,5500
2023-05-02,11590,4804
2023-05-02,11620,5706
2023-05-02,11650,5622
2023-05-02,11680,7080
2023-05-02,11710,9761
2023-05-02,11740,6563
2023-05-02,26110,412
2023-05-02,26140,1146
2023-05-02,26170,1017
2023-05-02,26200,1190
2023-05-02,26230,4492
2023-05-02,26260,3505
2023-05-02,26290,3064
2023-05-02,26320,3193
2023-05-02,26350,5062
2023-05-02,26380,3700
2023-05-02,26410,2609
2023-05-02,26440,2586
2023-05-02,26470,2559
2023-05-02,26500,1877
2023-05-02,26530,2547
2023-05-02,26710,2691
2023-05-02,27110,1008
2023-05-02,27140,4061
2023-05-02,27170,1688
2023-05-02,27200,1419
2023-05-02,27230,4945
2023-05-02,27260,4692
2023-05-02,27290,6533
2023-05-02,27710,4204
2023-05-02,28110,1982
2023-05-02,28140,687
2023-05-02,28185,5816
2023-05-02,28200,6555
2023-05-02,28237,6150
2023-05-02,28245,3435
2023-05-02,28260,9273
2023-05-02,28710,611
2023-05-02,28720,209
2023-05-02,29110,1417
2023-05-02,29140,3245
2023-05-02,29155,2556
2023-05-02,29170,5258
2023-05-02,29200,5116
2023-05-02,30110,2961
2023-05-02,30140,2765
2023-05-02,30170,6250
2023-05-02,30200,5562
2023-05-02,30230,2522
2023-05-02,31110,2443
2023-05-02,31140,3665
2023-05-02,31170,1920
2023-05-02,31200,3320
2023-05-02,31710,2738
2023-05-02,36110,7087
2023-05-02,41111,3646
2023-05-02,41113,5793
2023-05-02,41115,2577
2023-05-02,41117,5806
2023-05-02,41131,3273
2023-05-02,41133,3110
2023-05-02,41135,6526
2023-05-02,41150,6107
2023-05-02,41171,3105
2023-05-02,41173,4510
2023-05-02,41190,10903
2023-05-02,41210,4052
2023-05-02,41220,8411
2023-05-02,41250,1093
2023-05-02,41271,4127
2023-05-02,41273,4219
2023-05-02,41281,7142
2023-05-02,41285,3450
2023-05-02,41287,3764
2023-05-02,41290,1180
2023-05-02,41310,2669
2023-05-02,41360,10680
2023-05-02,41370,3705
2023-05-02,41390,8286
2023-05-02,41410,3536
2023-05-02,41430,2328
2023-05-02,41450,5517
2023-05-02,41461,3583
2023-05-02,41463,6327
2023-05-02,41465,5974
2023-05-02,41480,6753
2023-05-02,41500,2587
2023-05-02,41550,2355
2023-05-02,41570,8062
2023-05-02,41590,16510
2023-05-02,41610,5850
2023-05-02,41630,3600
2023-05-02,41650,1405
2023-05-02,41670,1488
2023-05-02,41800,429
2023-05-02,41820,661
2023-05-02,41830,1331
2023-05-02,42110,3250
2023-05-02,42130,4759
2023-05-02,42150,2036
2023-05-02,42170,1133
2023-05-02,42190,430
2023-05-02,42210,992
2023-05-02,42230,795
2023-05-02,42720,659
2023-05-02,42730,405
2023-05-02,42750,370
2023-05-02,42760,368
2023-05-02,42770,296
2023-05-02,42780,426
2023-05-02,42790,303
2023-05-02,42800,316
2023-05-02,42810,297
2023-05-02,42820,335
2023-05-02,42830,277
2023-05-02,43111,2596
2023-05-02,43112,2504
2023-05-02,43113,3993
2023-05-02,43114,2813
2023-05-02,43130,2233
2023-05-02,43150,1206
2023-05-02,43720,277
2023-05-02,43730,713
2023-05-02,43740,540
2023-05-02,43745,476
2023-05-02,43750,1234
2023-05-02,43760,382
2023-05-02,43770,1062
2023-05-02,43800,238
2023-05-02,44131,3385
2023-05-02,44133,6010
2023-05-02,44150,1030
2023-05-02,44180,1279
2023-05-02,44200,5332
2023-05-02,44210,2073
2023-05-02,44230,1317
2023-05-02,44250,577
2023-05-02,44270,1942
2023-05-02,44710,541
2023-05-02,44760,764
2023-05-02,44770,599
2023-05-02,44790,277
2023-05-02,44800,1140
2023-05-02,44810,845
2023-05-02,44825,658
2023-05-02,45111,3851
2023-05-02,45113,4364
2023-05-02,45130,3216
2023-05-02,45140,3366
2023-05-02,45180,1189
2023-05-02,45190,803
2023-05-02,45210,878
2023-05-02,45710,1252
2023-05-02,45720,260
2023-05-02,45730,221
2023-05-02,45740,278
2023-05-02,45750,264
2023-05-02,45770,266
2023-05-02,45790,493
2023-05-02,45800,492
2023-05-02,46110,2771
2023-05-02,46130,3662
2023-05-02,46150,3138
2023-05-02,46170,1550
2023-05-02,46230,1818
2023-05-02,46710,491
2023-05-02,46720,269
2023-05-02,46730,227
2023-05-02,46770,553
2023-05-02,46780,399
2023-05-02,46790,672
2023-05-02,46800,398
2023-05-02,46810,320
2023-05-02,46820,705
2023-05-02,46830,629
2023-05-02,46840,1179
2023-05-02,46860,326
2023-05-02,46870,678
2023-05-02,46880,461
2023-05-02,46890,618
2023-05-02,46900,353
2023-05-02,46910,409
2023-05-02,47111,2768
2023-05-02,47113,3205
2023-05-02,47130,2674
2023-05-02,47150,1588
2023-05-02,47170,1742
2023-05-02,47190,4984
2023-05-02,47210,975
2023-05-02,47230,1042
2023-05-02,47250,795
2023-05-02,47280,801
2023-05-02,47290,3227
2023-05-02,47720,184
2023-05-02,47730,363
2023-05-02,47750,216
2023-05-02,47760,83
2023-05-02,47770,400
2023-05-02,47820,373
2023-05-02,47830,222
2023-05-02,47840,385
2023-05-02,47850,1207
2023-05-02,47900,592
2023-05-02,47920,230
2023-05-02,47930,547
