날짜,시군구지역코드,발생건수(건)
2023-05-01,11110,143
2023-05-01,11140,90
2023-05-01,11170,165
2023-05-01,11200,241
2023-05-01,11215,389
2023-05-01,11230,395
2023-05-01,11260,352
2023-05-01,11290,494
2023-05-01,11305,252
2023-05-01,11320,276
2023-05-01,11350,493
2023-05-01,11380,452
2023-05-01,11410,310
2023-05-01,11440,277
2023-05-01,11470,319
2023-05-01,11500,537
2023-05-01,11530,427
2023-05-01,11545,185
2023-05-01,11560,484
2023-05-01,11590,352
2023-05-01,11620,450
2023-05-01,11650,397
2023-05-01,11680,417
2023-05-01,11710,633
2023-05-01,11740,393
2023-05-01,26110,19
2023-05-01,26140,38
2023-05-01,26170,62
2023-05-01,26200,119
2023-05-01,26230,318
2023-05-01,26260,329
2023-05-01,26290,265
2023-05-01,26320,345
2023-05-01,26350,405
2023-05-01,26380,255
2023-05-01,26410,266
2023-05-01,26440,169
2023-05-01,26470,222
2023-05-01,26500,161
2023-05-01,26530,217
2023-05-01,26710,190
2023-05-01,27110,67
2023-05-01,27140,322
2023-05-01,27170,138
2023-05-01,27200,136
2023-05-01,27230,527
2023-05-01,27260,368
2023-05-01,27290,709
2023-05-01,27710,391
2023-05-01,28110,151
2023-05-01,28140,47
2023-05-01,28170,0
2023-05-01,28185,369
2023-05-01,28200,586
2023-05-01,28237,317
2023-05-01,28245,210
2023-05-01,28260,495
2023-05-01,28710,22
2023-05-01,28720,15
2023-05-01,29110,70
2023-05-01,29140,230
2023-05-01,29155,174
2023-05-01,29170,269
2023-05-01,29200,256
2023-05-01,30110,217
2023-05-01,30140,190
2023-05-01,30170,459
2023-05-01,30200,305
2023-05-01,30230,141
2023-05-01,31110,132
2023-05-01,31140,178
2023-05-01,31170,95
2023-05-01,31200,196
2023-05-01,31710,127
2023-05-01,36110,332
2023-05-01,41111,369
2023-05-01,41113,328
2023-05-01,41115,184
2023-05-01,41117,280
2023-05-01,41131,294
2023-05-01,41133,192
2023-05-01,41135,361
2023-05-01,41150,574
2023-05-01,41171,167
2023-05-01,41173,285
2023-05-01,41190,837
2023-05-01,41210,487
2023-05-01,41220,526
2023-05-01,41250,89
2023-05-01,41271,371
2023-05-01,41273,394
2023-05-01,41281,392
2023-05-01,41285,281
2023-05-01,41287,278
2023-05-01,41290,48
2023-05-01,41310,150
