날짜,시도지역코드,발생건수(건)
2023-05-01,11,8923
2023-05-01,26,3380
2023-05-01,27,2658
2023-05-01,28,2547
2023-05-01,29,999
2023-05-01,30,1312
2023-05-01,31,728
2023-05-01,41,12830
2023-05-01,42,1318
2023-05-01,43,1342
2023-05-01,44,2079
2023-05-01,45,1916
2023-05-01,46,1548
2023-05-01,47,2331
2023-05-01,48,2842
2023-05-01,49,658
2023-05-01,99,47419
2023-05-02,11,10125
2023-05-02,26,3381
2023-05-02,27,2725
2023-05-02,28,2592
2023-05-02,29,1185
2023-05-02,30,1429
2023-05-02,31,791
2023-05-02,41,13671
2023-05-02,42,1609
2023-05-02,43,1518
2023-05-02,44,2321
2023-05-02,45,2112
2023-05-02,46,1844
2023-05-02,47,2712
2023-05-02,48,3186
2023-05-02,49,817
2023-05-02,99,52030
2023-05-03,11,8645
2023-05-03,26,2802
2023-05-03,27,2365
2023-05-03,28,2264
2023-05-03,29,1034
2023-05-03,30,1271
2023-05-03,31,648
2023-05-03,41,11494
2023-05-03,42,1372
2023-05-03,43,1261
2023-05-03,44,1953
2023-05-03,45,1831
2023-05-03,46,1450
2023-05-03,47,2236
2023-05-03,48,2714
2023-05-03,49,791
2023-05-03,99,44138
2023-05-04,11,9322
2023-05-04,26,3055
2023-05-04,27,2491
2023-05-04,28,2394
2023-05-04,29,992
2023-05-04,30,1398
2023-05-04,31,700
2023-05-04,41,12670
2023-05-04,42,1543
2023-05-04,43,1468
2023-05-04,44,2273
2023-05-04,45,2009
2023-05-04,46,1614
2023-05-04,47,2454
2023-05-04,48,2825
2023-05-04,49,621
2023-05-04,99,47839
2023-05-05,11,542
2023-05-05,26,253
2023-05-05,27,214
2023-05-05,28,218
2023-05-05,29,104
2023-05-05,30,208
2023-05-05,31,111
2023-05-05,41,1031
2023-05-05,42,71
2023-05-05,43,117
2023-05-05,44,229
2023-05-05,45,124
2023-05-05,46,140
2023-05-05,47,138
2023-05-05,48,313
2023-05-05,49,82
2023-05-05,99,3895
2023-05-06,11,5294
2023-05-06,26,1696
2023-05-06,27,1470
2023-05-06,28,1470
2023-05-06,29,641
2023-05-06,30,830
2023-05-06,31,403
2023-05-06,41,7712
2023-05-06,42,640
2023-05-06,43,785
2023-05-06,44,1117
2023-05-06,45,1066
2023-05-06,46,890
2023-05-06,47,1404
2023-05-06,48,1709
2023-05-06,49,437
2023-05-06,99,27568
2023-05-07,11,544
2023-05-07,26,81
2023-05-07,27,49
2023-05-07,28,162
2023-05-07,29,75
2023-05-07,30,59
