날짜,시군구지역코드,발생건수(건)
2023-05-01,11110,41
2023-05-01,11140,55
2023-05-01,11170,62
2023-05-01,11200,128
2023-05-01,11215,214
2023-05-01,11230,136
2023-05-01,11260,180
2023-05-01,11290,161
2023-05-01,11305,158
2023-05-01,11320,193
2023-05-01,11350,207
2023-05-01,11380,326
2023-05-01,11410,170
2023-05-01,11440,132
2023-05-01,11470,165
2023-05-01,11500,209
2023-05-01,11530,184
2023-05-01,11545,65
2023-05-01,11560,141
2023-05-01,11590,247
2023-05-01,11620,167
2023-05-01,11650,199
2023-05-01,11680,212
2023-05-01,11710,273
2023-05-01,11740,243
2023-05-01,26110,12
2023-05-01,26140,36
2023-05-01,26170,39
2023-05-01,26200,72
2023-05-01,26230,183
2023-05-01,26260,172
2023-05-01,26290,80
2023-05-01,26320,201
2023-05-01,26350,133
2023-05-01,26380,217
2023-05-01,26410,111
2023-05-01,26440,68
2023-05-01,26470,133
2023-05-01,26500,70
2023-05-01,26530,92
2023-05-01,26710,62
2023-05-01,27110,52
2023-05-01,27140,184
2023-05-01,27170,112
2023-05-01,27200,74
2023-05-01,27230,232
2023-05-01,27260,324
2023-05-01,27290,357
2023-05-01,27710,199
2023-05-01,28110,51
2023-05-01,28140,36
2023-05-01,28170,0
2023-05-01,28185,178
2023-05-01,28200,251
2023-05-01,28237,340
2023-05-01,28245,124
2023-05-01,28260,310
2023-05-01,28710,35
2023-05-01,28720,5
2023-05-01,29110,113
2023-05-01,29140,143
2023-05-01,29155,162
2023-05-01,29170,288
2023-05-01,29200,191
2023-05-01,30110,76
2023-05-01,30140,104
2023-05-01,30170,258
2023-05-01,30200,204
2023-05-01,30230,95
2023-05-01,31110,133
2023-05-01,31140,158
2023-05-01,31170,58
2023-05-01,31200,163
2023-05-01,31710,119
2023-05-01,36110,344
2023-05-01,41111,165
2023-05-01,41113,246
2023-05-01,41115,142
2023-05-01,41117,203
2023-05-01,41131,107
2023-05-01,41133,81
2023-05-01,41135,211
2023-05-01,41150,164
2023-05-01,41171,98
2023-05-01,41173,182
2023-05-01,41190,494
2023-05-01,41210,115
2023-05-01,41220,444
2023-05-01,41250,30
2023-05-01,41271,127
2023-05-01,41273,183
2023-05-01,41281,221
2023-05-01,41285,107
2023-05-01,41287,142
2023-05-01,41290,18
2023-05-01,41310,116
2023-05-01,41360,285
2023-05-01,41370,102
2023-05-01,41390,218
2023-05-01,41410,159
2023-05-01,41430,74
2023-05-01,41450,133
2023-05-01,41461,112
2023-05-01,41463,173
2023-05-01,41465,262
2023-05-01,41480,335
2023-05-01,41500,83
2023-05-01,41550,150
2023-05-01,41570,388
2023-05-01,41590,456
2023-05-01,41610,223
2023-05-01,41630,110
2023-05-01,41650,63
2023-05-01,41670,40
2023-05-01,41800,32
2023-05-01,41820,19
2023-05-01,41830,50
2023-05-01,42110,133
2023-05-01,42130,135
2023-05-01,42150,60
2023-05-01,42170,25
2023-05-01,42190,2
2023-05-01,42210,123
2023-05-01,42230,23
2023-05-01,42720,24
2023-05-01,42730,14
2023-05-01,42750,13
2023-05-01,42760,11
2023-05-01,42770,6
2023-05-01,42780,20
2023-05-01,42790,10
2023-05-01,42800,9
2023-05-01,42810,9
2023-05-01,42820,30
2023-05-01,42830,17
2023-05-01,43111,170
2023-05-01,43112,129
2023-05-01,43113,124
2023-05-01,43114,137
2023-05-01,43130,147
2023-05-01,43150,79
2023-05-01,43720,25
2023-05-01,43730,32
2023-05-01,43740,42
2023-05-01,43745,8
2023-05-01,43750,39
2023-05-01,43760,10
2023-05-01,43770,32
2023-05-01,43800,4
2023-05-01,44131,194
2023-05-01,44133,303
2023-05-01,44150,127
2023-05-01,44180,96
2023-05-01,44200,391
2023-05-01,44210,43
2023-05-01,44230,47
2023-05-01,44250,13
2023-05-01,44270,244
2023-05-01,44710,11
2023-05-01,44760,26
2023-05-01,44770,24
2023-05-01,44790,14
2023-05-01,44800,45
2023-05-01,44810,51
2023-05-01,44825,42
2023-05-01,45111,135
2023-05-01,45113,117
2023-05-01,45130,153
2023-05-01,45140,328
2023-05-01,45180,78
2023-05-01,45190,41
2023-05-01,45210,51
2023-05-01,45710,60
2023-05-01,45720,19
2023-05-01,45730,29
2023-05-01,45740,11
2023-05-01,45750,15
2023-05-01,45770,25
2023-05-01,45790,33
2023-05-01,45800,39
2023-05-01,46110,111
2023-05-01,46130,139
2023-05-01,46150,357
2023-05-01,46170,79
2023-05-01,46230,57
2023-05-01,46710,43
2023-05-01,46720,18
2023-05-01,46730,9
2023-05-01,46770,65
2023-05-01,46780,13
2023-05-01,46790,41
2023-05-01,46800,55
2023-05-01,46810,17
2023-05-01,46820,54
2023-05-01,46830,45
2023-05-01,46840,66
2023-05-01,46860,16
2023-05-01,46870,51
2023-05-01,46880,39
2023-05-01,46890,23
2023-05-01,46900,20
2023-05-01,46910,28
2023-05-01,47111,176
2023-05-01,47113,157
2023-05-01,47130,140
2023-05-01,47150,51
2023-05-01,47170,123
2023-05-01,47190,167
2023-05-01,47210,45
2023-05-01,47230,49
2023-05-01,47250,194
2023-05-01,47280,35
2023-05-01,47290,276
2023-05-01,47720,16
2023-05-01,47730,41
2023-05-01,47750,19
2023-05-01,47760,9
2023-05-01,47770,29
2023-05-01,47820,39
2023-05-01,47830,13
2023-05-01,47840,28
2023-05-01,47850,59
2023-05-01,47900,26
2023-05-01,47920,13
2023-05-01,47930,19
2023-05-01,47940,7
2023-05-01,48121,217
2023-05-01,48123,196
2023-05-01,48125,63
2023-05-01,48127,83
2023-05-01,48129,172
2023-05-01,48170,117
2023-05-01,48220,102
2023-05-01,48240,42
2023-05-01,48250,331
2023-05-01,48270,56
2023-05-01,48310,112
2023-05-01,48330,118
2023-05-01,48720,22
2023-05-01,48730,29
2023-05-01,48740,33
2023-05-01,48820,50
2023-05-01,48840,15
2023-05-01,48850,23
2023-05-01,48860,11
2023-05-01,48870,26
2023-05-01,48880,67
2023-05-01,48890,32
2023-05-01,49110,202
