날짜,시도지역코드,발생건수(건)
2023-05-01,11,4268
2023-05-01,26,1681
2023-05-01,27,1534
2023-05-01,28,1624
2023-05-01,29,897
2023-05-01,30,737
2023-05-01,31,631
2023-05-01,41,7063
2023-05-01,42,664
2023-05-01,43,978
2023-05-01,44,2015
2023-05-01,45,1134
2023-05-01,46,1346
2023-05-01,47,1731
2023-05-01,48,1917
2023-05-01,49,268
2023-05-01,99,28505
2023-05-02,11,4961
2023-05-02,26,1972
2023-05-02,27,1286
2023-05-02,28,1645
2023-05-02,29,935
2023-05-02,30,801
2023-05-02,31,671
2023-05-02,41,7373
2023-05-02,42,947
2023-05-02,43,983
2023-05-02,44,1706
2023-05-02,45,1235
2023-05-02,46,1507
2023-05-02,47,1636
2023-05-02,48,1816
2023-05-02,49,544
2023-05-02,99,30026
2023-05-03,11,4410
2023-05-03,26,1634
2023-05-03,27,1192
2023-05-03,28,1416
2023-05-03,29,755
2023-05-03,30,712
2023-05-03,31,562
2023-05-03,41,6084
2023-05-03,42,749
2023-05-03,43,806
2023-05-03,44,1381
2023-05-03,45,980
2023-05-03,46,1235
2023-05-03,47,1294
2023-05-03,48,1559
2023-05-03,49,286
2023-05-03,99,25061
2023-05-04,11,4805
2023-05-04,26,1829
2023-05-04,27,1366
2023-05-04,28,1756
2023-05-04,29,865
2023-05-04,30,797
2023-05-04,31,613
2023-05-04,41,7120
2023-05-04,42,832
2023-05-04,43,1034
2023-05-04,44,1779
2023-05-04,45,1091
2023-05-04,46,1405
2023-05-04,47,1599
2023-05-04,48,1830
2023-05-04,49,416
2023-05-04,99,29148
2023-05-05,11,352
2023-05-05,26,131
2023-05-05,27,253
2023-05-05,28,345
2023-05-05,29,137
2023-05-05,30,159
2023-05-05,31,132
2023-05-05,41,1286
2023-05-05,42,71
2023-05-05,43,132
2023-05-05,44,370
2023-05-05,45,153
2023-05-05,46,252
2023-05-05,47,209
2023-05-05,48,355
2023-05-05,49,54
2023-05-05,99,4391
2023-05-06,11,2980
2023-05-06,26,1122
2023-05-06,27,964
2023-05-06,28,1131
2023-05-06,29,598
2023-05-06,30,455
2023-05-06,31,472
2023-05-06,41,4579
2023-05-06,42,444
2023-05-06,43,551
2023-05-06,44,1178
2023-05-06,45,689
2023-05-06,46,873
2023-05-06,47,911
2023-05-06,48,1185
2023-05-06,49,284
2023-05-06,99,18417
2023-05-07,11,310
2023-05-07,26,148
2023-05-07,27,159
2023-05-07,28,273
2023-05-07,29,79
2023-05-07,30,137
2023-05-07,31,17
2023-05-07,41,1112
2023-05-07,42,79
2023-05-07,43,77
2023-05-07,44,326
2023-05-07,45,78
2023-05-07,46,175
2023-05-07,47,124
2023-05-07,48,191
2023-05-07,49,30
2023-05-07,99,3315
2023-05-08,11,6055
2023-05-08,26,2302
2023-05-08,27,1620
2023-05-08,28,2142
2023-05-08,29,1048
2023-05-08,30,955
2023-05-08,31,831
2023-05-08,41,8669
2023-05-08,42,1079
2023-05-08,43,1180
2023-05-08,44,2138
2023-05-08,45,1505
2023-05-08,46,1772
2023-05-08,47,1866
2023-05-08,48,2310
2023-05-08,49,571
2023-05-08,99,36049
2023-05-09,11,4393
2023-05-09,26,1604
2023-05-09,27,1166
2023-05-09,28,1481
2023-05-09,29,775
2023-05-09,30,757
2023-05-09,31,601
2023-05-09,41,6287
2023-05-09,42,840
2023-05-09,43,838
2023-05-09,44,1659
2023-05-09,45,1099
2023-05-09,46,1312
2023-05-09,47,1369
2023-05-09,48,1582
2023-05-09,49,422
2023-05-09,99,26188
2023-05-10,11,3899
2023-05-10,26,1497
2023-05-10,27,1064
2023-05-10,28,1322
2023-05-10,29,628
2023-05-10,30,619
2023-05-10,31,495
2023-05-10,41,5588
2023-05-10,42,696
2023-05-10,43,775
2023-05-10,44,1370
2023-05-10,45,895
2023-05-10,46,1108
2023-05-10,47,1232
2023-05-10,48,1423
2023-05-10,49,297
2023-05-10,99,22912
2023-05-11,11,3802
2023-05-11,26,1494
2023-05-11,27,1147
2023-05-11,28,1334
2023-05-11,29,685
2023-05-11,30,609
2023-05-11,31,524
2023-05-11,41,5613
2023-05-11,42,662
2023-05-11,43,775
2023-05-11,44,1417
2023-05-11,45,896
2023-05-11,46,1196
2023-05-11,47,1249
2023-05-11,48,1482
2023-05-11,49,409
2023-05-11,99,23297
2023-05-12,11,4268
2023-05-12,26,1563
2023-05-12,27,1177
2023-05-12,28,1515
2023-05-12,29,770
2023-05-12,30,678
2023-05-12,31,549
2023-05-12,41,6184
2023-05-12,42,739
2023-05-12,43,935
2023-05-12,44,1527
2023-05-12,45,1142
2023-05-12,46,1308
2023-05-12,47,1294
2023-05-12,48,1747
2023-05-12,49,443
2023-05-12,99,25843
2023-05-13,11,2974
2023-05-13,26,972
2023-05-13,27,916
2023-05-13,28,1040
2023-05-13,29,569
2023-05-13,30,480
2023-05-13,31,442
2023-05-13,41,4422
2023-05-13,42,380
2023-05-13,43,567
2023-05-13,44,1099
2023-05-13,45,645
2023-05-13,46,882
2023-05-13,47,930
2023-05-13,48,1187
2023-05-13,49,274
2023-05-13,99,17782
2023-05-14,11,301
2023-05-14,26,86
2023-05-14,27,112
2023-05-14,28,252
2023-05-14,29,80
2023-05-14,30,133
2023-05-14,31,37
2023-05-14,41,962
2023-05-14,42,56
2023-05-14,43,75
2023-05-14,44,318
2023-05-14,45,92
2023-05-14,46,197
2023-05-14,47,97
