날짜,시군구지역코드,발생건수(건)
2023-05-01,11110,120
2023-05-01,11140,139
2023-05-01,11170,215
2023-05-01,11200,297
2023-05-01,11215,404
2023-05-01,11230,427
2023-05-01,11260,482
2023-05-01,11290,423
2023-05-01,11305,261
2023-05-01,11320,289
2023-05-01,11350,491
2023-05-01,11380,611
2023-05-01,11410,333
2023-05-01,11440,300
2023-05-01,11470,459
2023-05-01,11500,553
2023-05-01,11530,417
2023-05-01,11545,181
2023-05-01,11560,417
2023-05-01,11590,431
2023-05-01,11620,477
2023-05-01,11650,383
2023-05-01,11680,482
2023-05-01,11710,659
2023-05-01,11740,471
2023-05-01,26110,51
2023-05-01,26140,152
2023-05-01,26170,96
2023-05-01,26200,148
2023-05-01,26230,389
2023-05-01,26260,285
2023-05-01,26290,264
2023-05-01,26320,236
2023-05-01,26350,477
2023-05-01,26380,293
2023-05-01,26410,291
2023-05-01,26440,124
2023-05-01,26470,317
2023-05-01,26500,244
2023-05-01,26530,218
2023-05-01,26710,182
2023-05-01,27110,89
2023-05-01,27140,417
2023-05-01,27170,165
2023-05-01,27200,196
2023-05-01,27230,472
2023-05-01,27260,550
2023-05-01,27290,661
2023-05-01,27710,318
2023-05-01,28110,147
2023-05-01,28140,60
2023-05-01,28170,0
2023-05-01,28185,397
2023-05-01,28200,632
2023-05-01,28237,508
2023-05-01,28245,393
2023-05-01,28260,612
2023-05-01,28710,51
2023-05-01,28720,19
2023-05-01,29110,107
2023-05-01,29140,274
2023-05-01,29155,178
2023-05-01,29170,500
2023-05-01,29200,441
2023-05-01,30110,283
2023-05-01,30140,282
2023-05-01,30170,618
2023-05-01,30200,458
2023-05-01,30230,192
2023-05-01,31110,207
2023-05-01,31140,350
2023-05-01,31170,219
2023-05-01,31200,243
2023-05-01,31710,236
2023-05-01,36110,531
2023-05-01,41111,274
2023-05-01,41113,354
2023-05-01,41115,191
2023-05-01,41117,426
2023-05-01,41131,249
2023-05-01,41133,291
2023-05-01,41135,457
2023-05-01,41150,386
2023-05-01,41171,235
2023-05-01,41173,335
2023-05-01,41190,794
2023-05-01,41210,276
2023-05-01,41220,622
2023-05-01,41250,79
2023-05-01,41271,283
2023-05-01,41273,333
2023-05-01,41281,356
2023-05-01,41285,257
2023-05-01,41287,364
2023-05-01,41290,81
2023-05-01,41310,226
2023-05-01,41360,768
2023-05-01,41370,260
2023-05-01,41390,552
2023-05-01,41410,269
2023-05-01,41430,192
2023-05-01,41450,370
2023-05-01,41461,285
2023-05-01,41463,430
2023-05-01,41465,301
2023-05-01,41480,467
2023-05-01,41500,129
2023-05-01,41550,241
2023-05-01,41570,481
2023-05-01,41590,958
2023-05-01,41610,389
2023-05-01,41630,222
2023-05-01,41650,133
2023-05-01,41670,77
2023-05-01,41800,52
2023-05-01,41820,37
2023-05-01,41830,107
2023-05-01,42110,170
2023-05-01,42130,428
2023-05-01,42150,162
2023-05-01,42170,110
2023-05-01,42190,89
2023-05-01,42210,109
2023-05-01,42230,76
2023-05-01,42720,51
2023-05-01,42730,38
2023-05-01,42750,49
2023-05-01,42760,34
2023-05-01,42770,28
2023-05-01,42780,30
2023-05-01,42790,14
2023-05-01,42800,11
2023-05-01,42810,20
2023-05-01,42820,25
2023-05-01,42830,17
2023-05-01,43111,182
2023-05-01,43112,261
2023-05-01,43113,324
2023-05-01,43114,215
2023-05-01,43130,254
2023-05-01,43150,190
2023-05-01,43720,44
2023-05-01,43730,100
2023-05-01,43740,50
2023-05-01,43745,25
2023-05-01,43750,73
2023-05-01,43760,33
2023-05-01,43770,110
2023-05-01,43800,35
2023-05-01,44131,257
2023-05-01,44133,355
2023-05-01,44150,139
2023-05-01,44180,196
2023-05-01,44200,338
2023-05-01,44210,171
2023-05-01,44230,195
2023-05-01,44250,49
2023-05-01,44270,210
2023-05-01,44710,86
2023-05-01,44760,76
2023-05-01,44770,111
2023-05-01,44790,49
2023-05-01,44800,203
2023-05-01,44810,136
2023-05-01,44825,94
2023-05-01,45111,350
2023-05-01,45113,348
2023-05-01,45130,232
2023-05-01,45140,349
2023-05-01,45180,110
2023-05-01,45190,100
2023-05-01,45210,90
2023-05-01,45710,92
2023-05-01,45720,14
2023-05-01,45730,42
2023-05-01,45740,17
2023-05-01,45750,28
2023-05-01,45770,34
2023-05-01,45790,67
2023-05-01,45800,89
2023-05-01,46110,198
2023-05-01,46130,456
2023-05-01,46150,199
2023-05-01,46170,139
2023-05-01,46230,145
2023-05-01,46710,40
2023-05-01,46720,40
2023-05-01,46730,26
2023-05-01,46770,61
2023-05-01,46780,39
2023-05-01,46790,49
2023-05-01,46800,45
2023-05-01,46810,24
2023-05-01,46820,81
2023-05-01,46830,58
2023-05-01,46840,136
2023-05-01,46860,34
2023-05-01,46870,83
2023-05-01,46880,33
2023-05-01,46890,45
2023-05-01,46900,36
2023-05-01,46910,32
2023-05-01,47111,251
2023-05-01,47113,242
2023-05-01,47130,281
2023-05-01,47150,131
2023-05-01,47170,162
2023-05-01,47190,468
2023-05-01,47210,131
2023-05-01,47230,153
2023-05-01,47250,108
2023-05-01,47280,91
2023-05-01,47290,250
2023-05-01,47720,24
2023-05-01,47730,41
2023-05-01,47750,21
2023-05-01,47760,6
2023-05-01,47770,45
2023-05-01,47820,45
2023-05-01,47830,27
2023-05-01,47840,39
2023-05-01,47850,122
2023-05-01,47900,35
2023-05-01,47920,27
2023-05-01,47930,52
2023-05-01,47940,3
2023-05-01,48121,278
2023-05-01,48123,275
2023-05-01,48125,273
2023-05-01,48127,222
2023-05-01,48129,227
2023-05-01,48170,331
2023-05-01,48220,124
2023-05-01,48240,108
2023-05-01,48250,650
2023-05-01,48270,109
2023-05-01,48310,216
2023-05-01,48330,421
2023-05-01,48720,33
2023-05-01,48730,58
2023-05-01,48740,57
2023-05-01,48820,61
2023-05-01,48840,15
2023-05-01,48850,45
2023-05-01,48860,45
2023-05-01,48870,46
2023-05-01,48880,124
2023-05-01,48890,39
2023-05-01,49110,468
2023-05-01,49130,151
2023-05-02,11110,181
2023-05-02,11140,168
2023-05-02,11170,267
2023-05-02,11200,492
2023-05-02,11215,492
2023-05-02,11230,500
2023-05-02,11260,561
2023-05-02,11290,513
2023-05-02,11305,353
2023-05-02,11320,366
2023-05-02,11350,640
2023-05-02,11380,777
2023-05-02,11410,434
2023-05-02,11440,444
2023-05-02,11470,502
2023-05-02,11500,705
2023-05-02,11530,523
2023-05-02,11545,355
2023-05-02,11560,460
2023-05-02,11590,580
2023-05-02,11620,734
2023-05-02,11650,494
2023-05-02,11680,634
2023-05-02,11710,852
2023-05-02,11740,583
2023-05-02,26110,47
2023-05-02,26140,163
2023-05-02,26170,144
2023-05-02,26200,167
2023-05-02,26230,511
2023-05-02,26260,403
2023-05-02,26290,396
2023-05-02,26320,362
2023-05-02,26350,633
2023-05-02,26380,292
2023-05-02,26410,319
2023-05-02,26440,171
2023-05-02,26470,390
2023-05-02,26500,234
2023-05-02,26530,227
2023-05-02,26710,287
2023-05-02,27110,140
2023-05-02,27140,538
2023-05-02,27170,224
2023-05-02,27200,220
2023-05-02,27230,639
2023-05-02,27260,616
2023-05-02,27290,708
2023-05-02,27710,320
2023-05-02,28110,169
2023-05-02,28140,77
2023-05-02,28185,520
2023-05-02,28200,802
2023-05-02,28237,685
2023-05-02,28245,444
2023-05-02,28260,739
2023-05-02,28710,59
2023-05-02,28720,20
2023-05-02,29110,141
2023-05-02,29140,329
2023-05-02,29155,262
2023-05-02,29170,601
2023-05-02,29200,440
2023-05-02,30110,375
2023-05-02,30140,329
2023-05-02,30170,689
2023-05-02,30200,476
2023-05-02,30230,247
2023-05-02,31110,203
2023-05-02,31140,407
2023-05-02,31170,220
2023-05-02,31200,210
2023-05-02,31710,267
2023-05-02,36110,608
2023-05-02,41111,314
2023-05-02,41113,424
2023-05-02,41115,222
2023-05-02,41117,458
2023-05-02,41131,303
2023-05-02,41133,271
2023-05-02,41135,552
2023-05-02,41150,601
2023-05-02,41171,277
2023-05-02,41173,372
2023-05-02,41190,1020
2023-05-02,41210,426
2023-05-02,41220,611
2023-05-02,41250,107
2023-05-02,41271,306
2023-05-02,41273,337
2023-05-02,41281,520
2023-05-02,41285,289
2023-05-02,41287,355
2023-05-02,41290,99
2023-05-02,41310,257
2023-05-02,41360,969
2023-05-02,41370,252
2023-05-02,41390,743
2023-05-02,41410,285
2023-05-02,41430,208
2023-05-02,41450,498
2023-05-02,41461,284
2023-05-02,41463,470
2023-05-02,41465,460
2023-05-02,41480,553
2023-05-02,41500,214
2023-05-02,41550,283
2023-05-02,41570,586
2023-05-02,41590,980
2023-05-02,41610,546
2023-05-02,41630,309
2023-05-02,41650,169
2023-05-02,41670,100
2023-05-02,41800,53
2023-05-02,41820,56
2023-05-02,41830,171
2023-05-02,42110,248
2023-05-02,42130,447
2023-05-02,42150,197
2023-05-02,42170,89
2023-05-02,42190,120
2023-05-02,42210,112
2023-05-02,42230,127
2023-05-02,42720,70
2023-05-02,42730,37
2023-05-02,42750,56
2023-05-02,42760,26
2023-05-02,42770,45
2023-05-02,42780,49
2023-05-02,42790,23
2023-05-02,42800,15
2023-05-02,42810,24
2023-05-02,42820,36
2023-05-02,42830,28
