날짜,시도지역코드,발생건수(건)
2023-05-01,11,9722
2023-05-01,26,3767
2023-05-01,27,2868
2023-05-01,28,3236
2023-05-01,29,1500
2023-05-01,30,1833
2023-05-01,31,1255
2023-05-01,41,13589
2023-05-01,42,1461
2023-05-01,43,1896
2023-05-01,44,3196
2023-05-01,45,1962
2023-05-01,46,1999
2023-05-01,47,2755
2023-05-01,48,3757
2023-05-01,49,619
2023-05-01,99,55419
2023-05-02,11,12610
2023-05-02,26,4746
2023-05-02,27,3405
2023-05-02,28,4057
2023-05-02,29,1773
2023-05-02,30,2116
2023-05-02,31,1307
2023-05-02,41,16310
2023-05-02,42,1749
2023-05-02,43,2411
2023-05-02,44,3538
2023-05-02,45,2387
2023-05-02,46,2642
2023-05-02,47,3289
2023-05-02,48,4659
2023-05-02,49,873
2023-05-02,99,67885
2023-05-03,11,10217
2023-05-03,26,3852
2023-05-03,27,2804
2023-05-03,28,3333
2023-05-03,29,1416
2023-05-03,30,1782
2023-05-03,31,1023
2023-05-03,41,13073
2023-05-03,42,1396
2023-05-03,43,1796
2023-05-03,44,2817
2023-05-03,45,1633
2023-05-03,46,2090
2023-05-03,47,2658
2023-05-03,48,3584
2023-05-03,49,650
2023-05-03,99,54130
2023-05-04,11,11353
2023-05-04,26,4089
2023-05-04,27,2949
2023-05-04,28,3402
2023-05-04,29,1636
2023-05-04,30,2069
2023-05-04,31,1213
2023-05-04,41,14894
2023-05-04,42,1599
2023-05-04,43,2124
2023-05-04,44,3348
2023-05-04,45,2064
2023-05-04,46,2234
2023-05-04,47,3172
2023-05-04,48,4191
2023-05-04,49,632
2023-05-04,99,60976
2023-05-05,11,476
2023-05-05,26,276
2023-05-05,27,183
2023-05-05,28,200
2023-05-05,29,84
2023-05-05,30,178
2023-05-05,31,98
2023-05-05,41,1012
2023-05-05,42,51
2023-05-05,43,145
2023-05-05,44,310
2023-05-05,45,118
2023-05-05,46,134
2023-05-05,47,172
2023-05-05,48,321
2023-05-05,49,86
2023-05-05,99,3845
2023-05-06,11,7183
2023-05-06,26,2776
2023-05-06,27,1998
2023-05-06,28,2739
2023-05-06,29,1172
2023-05-06,30,1433
2023-05-06,31,710
2023-05-06,41,10679
2023-05-06,42,774
2023-05-06,43,1459
2023-05-06,44,2031
2023-05-06,45,1411
2023-05-06,46,1614
2023-05-06,47,1869
2023-05-06,48,2861
2023-05-06,49,460
2023-05-06,99,41174
2023-05-07,11,465
2023-05-07,26,185
2023-05-07,27,65
2023-05-07,28,150
2023-05-07,29,23
2023-05-07,30,148
2023-05-07,31,69
2023-05-07,41,799
2023-05-07,42,40
2023-05-07,43,95
