날짜,강수량(mm),일최다강수량(mm),일최다강수량일자,1시간최다강수량(mm),1시간최다강수량일자
01-15,11.3,4,2015-01-18,,
02-15,22.7,10.5,2015-02-16,,
03-15,9.6,5.5,2015-03-03,,
04-15,80.5,28,2015-04-02,16.5,2015-04-02
05-15,28.9,14,2015-05-11,6.5,2015-05-11
06-15,99,44.5,2015-06-20,25.5,2015-06-20
07-15,226,80,2015-07-25,31,2015-07-25
08-15,72.9,29,2015-08-16,21.5,2015-08-16
09-15,26,18,2015-09-03,16.5,2015-09-03
10-15,81.5,35,2015-10-01,16.5,2015-10-01
11-15,104.6,24.5,2015-11-07,,
12-15,29.1,13.5,2015-12-02,,
01-16,1,0.4,2016-01-13,,
02-16,47.6,21,2016-02-13,,
03-16,40.5,40,2016-03-05,,
04-16,76.8,23.5,2016-04-16,7.5,2016-04-17
05-16,160.5,45,2016-05-15,12,2016-05-15
06-16,54.4,30.5,2016-06-22,26,2016-06-22
07-16,358.2,108.5,2016-07-01,51.5,2016-07-29
08-16,67.1,20,2016-08-26,11.5,2016-08-19
09-16,33,13.5,2016-09-27,4.5,2016-09-02
10-16,74.8,37,2016-10-25,10,2016-10-25
11-16,16.7,5.5,2016-11-07,,
12-16,61.1,29,2016-12-21,,
01-17,14.9,4.5,2017-01-29,,
02-17,11.1,5.1,2017-02-22,,
03-17,7.9,5,2017-03-01,,
04-17,61.6,37.5,2017-04-05,8.5,2017-04-05
05-17,16.1,6,2017-05-13,6,2017-05-13
06-17,66.6,29,2017-06-26,17,2017-06-26
07-17,621,144.5,2017-07-10,53,2017-07-03
08-17,297,124.5,2017-08-20,35.5,2017-08-15
09-17,35,24,2017-09-11,9,2017-09-11
10-17,26.5,20,2017-10-11,6,2017-10-11
11-17,40.7,24,2017-11-25,,
12-17,34.8,20,2017-12-24,,
01-18,8.5,3.3,2018-01-22,,
02-18,29.6,25,2018-02-28,,
03-18,49.5,27,2018-03-15,,
04-18,130.3,59,2018-04-23,8.5,2018-04-23
05-18,222,83,2018-05-17,35,2018-05-16
06-18,171.5,71.5,2018-06-26,22.5,2018-06-28
07-18,185.6,83.5,2018-07-01,25,2018-07-02
08-18,202.6,96.5,2018-08-28,43.5,2018-08-28
